# Format: netid, week, Activity (Read/Watch/Do/Coding/...), time in minutes (e.g. 2 hours and 45 minutes would be recorded as 165)
# example row: pjm52, week1, Read, 180
jw822, week5, Coding, refactoring,240
jw822, week5, Coding, Charting, 240
jw822, week5, Coding, refactoring, 125
